chunk_id,status,timestamp_inicio,timestamp_fim,total_processado,worker_id
000076,em_processamento,2026-02-11T17:46:19.607893,,0,worker-4be4a779
000077,em_processamento,2026-02-11T17:46:19.607896,,0,worker-4be4a779
000078,em_processamento,2026-02-11T17:46:19.607898,,0,worker-4be4a779
000079,em_processamento,2026-02-11T17:46:19.607902,,0,worker-4be4a779
000080,em_processamento,2026-02-11T17:46:19.607905,,0,worker-4be4a779
000081,em_processamento,2026-02-11T17:46:19.607907,,0,worker-4be4a779
000082,em_processamento,2026-02-11T17:46:19.607909,,0,worker-4be4a779
000083,em_processamento,2026-02-11T17:46:19.607912,,0,worker-4be4a779
000084,em_processamento,2026-02-11T17:46:19.607914,,0,worker-4be4a779
000085,em_processamento,2026-02-11T17:46:19.607917,,0,worker-4be4a779
000086,em_processamento,2026-02-11T17:46:19.607919,,0,worker-4be4a779
000087,em_processamento,2026-02-11T17:46:19.607922,,0,worker-4be4a779
000088,em_processamento,2026-02-11T17:46:19.607924,,0,worker-4be4a779
000089,em_processamento,2026-02-11T17:46:19.607927,,0,worker-4be4a779
000090,em_processamento,2026-02-11T17:46:19.607929,,0,worker-4be4a779
000091,em_processamento,2026-02-11T17:46:19.607932,,0,worker-4be4a779
000092,em_processamento,2026-02-11T17:46:19.607934,,0,worker-4be4a779
000093,em_processamento,2026-02-11T17:46:19.607937,,0,worker-4be4a779
000094,em_processamento,2026-02-11T17:46:19.607939,,0,worker-4be4a779
000095,em_processamento,2026-02-11T17:46:19.607942,,0,worker-4be4a779
000096,em_processamento,2026-02-11T17:46:19.607944,,0,worker-4be4a779
000097,em_processamento,2026-02-11T17:46:19.607947,,0,worker-4be4a779
000098,em_processamento,2026-02-11T17:46:19.607950,,0,worker-4be4a779
000099,em_processamento,2026-02-11T17:46:19.607952,,0,worker-4be4a779
000100,em_processamento,2026-02-11T17:46:19.607955,,0,worker-4be4a779
000101,em_processamento,2026-02-11T17:46:19.607958,,0,worker-4be4a779
000102,em_processamento,2026-02-11T18:21:43.215143,,0,worker-6ae1e77c
000103,em_processamento,2026-02-11T18:22:06.226355,,0,worker-6ae1e77c
000104,em_processamento,2026-02-11T18:22:30.201715,,0,worker-6ae1e77c
000105,em_processamento,2026-02-11T18:22:59.491111,,0,worker-6ae1e77c
000106,em_processamento,2026-02-11T18:23:26.726987,,0,worker-6ae1e77c
000107,em_processamento,2026-02-11T18:23:52.668751,,0,worker-6ae1e77c
000108,concluido,2026-02-11T19:15:08.896877,2026-02-11T19:24:34.024811,26,worker-11baa210
000109,em_espera,,,0,
000110,em_espera,,,0,
000111,em_espera,,,0,
000112,em_espera,,,0,
000113,em_espera,,,0,
000114,em_espera,,,0,
000115,em_espera,,,0,
000116,em_espera,,,0,
000117,em_espera,,,0,
000118,em_espera,,,0,
000119,em_espera,,,0,
000120,em_espera,,,0,
000121,em_espera,,,0,
000122,em_espera,,,0,
000123,em_espera,,,0,
000124,em_espera,,,0,
000125,em_espera,,,0,
000126,em_espera,,,0,
000127,em_espera,,,0,
000128,em_espera,,,0,
000129,em_espera,,,0,
000130,em_espera,,,0,
000131,em_espera,,,0,
000132,em_espera,,,0,
000133,em_espera,,,0,
000134,em_espera,,,0,
000135,em_espera,,,0,
000136,em_espera,,,0,
000137,em_espera,,,0,
