chunk_entrada,status,timestamp,worker_id
000012,em_processamento,2026-02-11T08:40:09.335154,worker-af56a6f1
000012,em_processamento,2026-02-11T08:44:03.417995,worker-af56a6f1
000012,em_processamento,2026-02-11T08:47:25.828131,worker-af56a6f1
000012,em_processamento,2026-02-11T08:51:29.056499,worker-af56a6f1
000012,concluido,2026-02-11T08:51:30.163839,worker-af56a6f1
000013,em_processamento,2026-02-11T08:51:36.342509,worker-af56a6f1
000013,em_processamento,2026-02-11T08:55:05.612119,worker-af56a6f1
000013,em_processamento,2026-02-11T08:59:29.453845,worker-af56a6f1
000013,em_processamento,2026-02-11T09:03:44.049469,worker-af56a6f1
000013,em_processamento,2026-02-11T09:08:59.833718,worker-af56a6f1
000013,em_processamento,2026-02-11T09:14:12.237826,worker-af56a6f1
000013,concluido,2026-02-11T09:14:13.151608,worker-af56a6f1
000014,em_processamento,2026-02-11T09:14:19.364479,worker-af56a6f1
000014,em_processamento,2026-02-11T09:18:00.629841,worker-af56a6f1
000014,em_processamento,2026-02-11T09:21:54.359743,worker-af56a6f1
000014,em_processamento,2026-02-11T09:25:06.126513,worker-af56a6f1
000014,em_processamento,2026-02-11T09:28:53.270513,worker-af56a6f1
000014,em_processamento,2026-02-11T09:34:05.005370,worker-af56a6f1
000014,concluido,2026-02-11T09:34:06.184351,worker-af56a6f1
000015,em_processamento,2026-02-11T09:34:12.399834,worker-af56a6f1
000015,em_processamento,2026-02-11T09:38:54.577651,worker-af56a6f1
000015,em_processamento,2026-02-11T09:42:42.154690,worker-af56a6f1
000015,em_processamento,2026-02-11T09:46:28.133585,worker-af56a6f1
000015,em_processamento,2026-02-11T09:49:12.663713,worker-af56a6f1
000015,em_processamento,2026-02-11T09:53:45.435791,worker-af56a6f1
000015,concluido,2026-02-11T09:53:46.404473,worker-af56a6f1
000016,em_processamento,2026-02-11T09:53:52.575781,worker-af56a6f1
000016,em_processamento,2026-02-11T09:56:36.614711,worker-af56a6f1
