Id_chunk_data_gz,Id_chunk_llm_gz,dataini,datafim,total_ok,lista_id_err,status
000079,000079,2026-02-16T06:01:40.774886,2026-02-16T06:12:29.714258,325,"[""49000"", ""49005"", ""49006"", ""49009"", ""49012"", ""49014"", ""49016"", ""49018"", ""49021"", ""49022"", ""49024"", ""49031"", ""49034"", ""49036"", ""49038"", ""49041"", ""49049"", ""49052"", ""49057"", ""49060"", ""49062"", ""49063"", ""49064"", ""49067"", ""49068"", ""49069"", ""49074"", ""49077"", ""49081"", ""49082"", ""49083"", ""49087"", ""49091"", ""49092"", ""49095"", ""49097"", ""49102"", ""49104"", ""49109"", ""49110"", ""49111"", ""49112"", ""49113"", ""49115"", ""49116"", ""49117"", ""49118"", ""49120"", ""49121"", ""49123"", ""49124"", ""49127"", ""49128"", ""49129"", ""49130"", ""49131"", ""49132"", ""49133"", ""49134"", ""49135"", ""49136"", ""49137"", ""49138"", ""49141"", ""49143"", ""49144"", ""49145"", ""49148"", ""49150"", ""49151"", ""49154"", ""49161"", ""49170"", ""49178"", ""49200"", ""49206"", ""49212"", ""49213"", ""49216"", ""49220"", ""49226"", ""49227"", ""49229"", ""49230"", ""49231"", ""49235"", ""49236"", ""49237"", ""49238"", ""49239"", ""49240"", ""49242"", ""49243"", ""49244"", ""49245"", ""49246"", ""49247"", ""49248"", ""49249"", ""49250"", ""49251"", ""49252"", ""49255"", ""49258"", ""49261"", ""49272"", ""49274"", ""49282"", ""49295"", ""49299"", ""49303"", ""49304"", ""49306"", ""49310"", ""49311"", ""49312"", ""49314"", ""49316"", ""49317"", ""49320"", ""49324"", ""49326"", ""49327"", ""49331"", ""49335"", ""49337"", ""49338"", ""49340"", ""49361"", ""49374"", ""49378"", ""49387"", ""49393"", ""49404"", ""49417"", ""49424"", ""49428"", ""49430"", ""49431"", ""49433"", ""49434"", ""49435"", ""49436"", ""49439"", ""49440"", ""49443"", ""49445"", ""49446"", ""49447"", ""49449"", ""49450"", ""49454"", ""49457"", ""49460"", ""49461"", ""49465"", ""49466"", ""49467"", ""49468"", ""49469"", ""49470"", ""49471"", ""49472"", ""49475"", ""49476"", ""49477"", ""49478"", ""49480"", ""49484"", ""49486"", ""49488"", ""49491"", ""49493"", ""49495"", ""49499""]",concluido
000080,000080,2026-02-16T06:12:35.915601,,0,[],em_processamento
000081,000081,2026-02-16T06:32:51.885866,2026-02-16T06:50:46.846837,427,"[""50023"", ""50028"", ""50033"", ""50041"", ""50042"", ""50044"", ""50050"", ""50052"", ""50053"", ""50054"", ""50063"", ""50069"", ""50077"", ""50088"", ""50090"", ""50093"", ""50097"", ""50110"", ""50115"", ""50117"", ""50118"", ""50130"", ""50134"", ""50136"", ""50137"", ""50138"", ""50140"", ""50157"", ""50166"", ""50171"", ""50175"", ""50185"", ""50186"", ""50191"", ""50194"", ""50198"", ""50200"", ""50201"", ""50206"", ""50208"", ""50210"", ""50219"", ""50225"", ""50226"", ""50229"", ""50233"", ""50235"", ""50239"", ""50240"", ""50244"", ""50246"", ""50251"", ""50258"", ""50259"", ""50262"", ""50273"", ""50276"", ""50283"", ""50313"", ""50369"", ""50371"", ""50372"", ""50391"", ""50403"", ""50407"", ""50410"", ""50423"", ""50431"", ""50434"", ""50435"", ""50436"", ""50437"", ""50483""]",concluido
000082,000082,2026-02-16T06:50:53.579165,2026-02-16T07:06:52.854482,416,"[""50504"", ""50509"", ""50521"", ""50529"", ""50533"", ""50534"", ""50537"", ""50542"", ""50552"", ""50554"", ""50557"", ""50558"", ""50559"", ""50561"", ""50563"", ""50571"", ""50574"", ""50575"", ""50583"", ""50589"", ""50591"", ""50593"", ""50594"", ""50595"", ""50596"", ""50603"", ""50610"", ""50614"", ""50615"", ""50617"", ""50644"", ""50648"", ""50659"", ""50660"", ""50669"", ""50671"", ""50693"", ""50695"", ""50703"", ""50715"", ""50717"", ""50718"", ""50721"", ""50746"", ""50750"", ""50754"", ""50761"", ""50779"", ""50783"", ""50784"", ""50786"", ""50789"", ""50797"", ""50808"", ""50856"", ""50859"", ""50862"", ""50864"", ""50865"", ""50866"", ""50872"", ""50875"", ""50889"", ""50896"", ""50926"", ""50931"", ""50946"", ""50948"", ""50949"", ""50950"", ""50951"", ""50955"", ""50959"", ""50960"", ""50962"", ""50966"", ""50967"", ""50968"", ""50973"", ""50976"", ""50985"", ""50986"", ""50993"", ""50996""]",concluido
000083,000083,2026-02-16T07:06:59.103686,,0,[],em_processamento
000084,000084,2026-02-16T07:13:17.111140,2026-02-16T07:25:13.215777,414,"[""51500"", ""51501"", ""51505"", ""51506"", ""51508"", ""51510"", ""51511"", ""51512"", ""51514"", ""51515"", ""51517"", ""51525"", ""51527"", ""51528"", ""51530"", ""51532"", ""51533"", ""51534"", ""51535"", ""51538"", ""51539"", ""51541"", ""51542"", ""51544"", ""51547"", ""51548"", ""51550"", ""51551"", ""51555"", ""51556"", ""51557"", ""51559"", ""51564"", ""51565"", ""51570"", ""51580"", ""51607"", ""51609"", ""51612"", ""51613"", ""51614"", ""51668"", ""51674"", ""51677"", ""51678"", ""51679"", ""51680"", ""51691"", ""51694"", ""51703"", ""51728"", ""51751"", ""51756"", ""51758"", ""51760"", ""51775"", ""51785"", ""51798"", ""51799"", ""51803"", ""51804"", ""51809"", ""51810"", ""51841"", ""51852"", ""51853"", ""51861"", ""51862"", ""51866"", ""51867"", ""51872"", ""51873"", ""51877"", ""51879"", ""51880"", ""51881"", ""51944"", ""51945"", ""51964"", ""51967"", ""51968"", ""51971"", ""51973"", ""51974"", ""51980"", ""51985""]",concluido
000085,000085,2026-02-16T07:25:19.260860,2026-02-16T07:36:37.455904,303,"[""52006"", ""52007"", ""52009"", ""52010"", ""52012"", ""52013"", ""52014"", ""52015"", ""52017"", ""52018"", ""52020"", ""52022"", ""52024"", ""52025"", ""52026"", ""52027"", ""52029"", ""52030"", ""52031"", ""52032"", ""52033"", ""52034"", ""52035"", ""52036"", ""52037"", ""52038"", ""52041"", ""52042"", ""52043"", ""52046"", ""52047"", ""52048"", ""52049"", ""52051"", ""52052"", ""52053"", ""52054"", ""52055"", ""52056"", ""52057"", ""52061"", ""52062"", ""52065"", ""52066"", ""52067"", ""52069"", ""52090"", ""52091"", ""52093"", ""52094"", ""52097"", ""52098"", ""52099"", ""52100"", ""52101"", ""52102"", ""52103"", ""52104"", ""52107"", ""52109"", ""52110"", ""52113"", ""52114"", ""52115"", ""52117"", ""52118"", ""52120"", ""52123"", ""52124"", ""52125"", ""52126"", ""52128"", ""52129"", ""52130"", ""52131"", ""52132"", ""52141"", ""52142"", ""52143"", ""52144"", ""52145"", ""52146"", ""52147"", ""52148"", ""52151"", ""52152"", ""52153"", ""52155"", ""52157"", ""52160"", ""52162"", ""52163"", ""52164"", ""52167"", ""52168"", ""52169"", ""52171"", ""52172"", ""52173"", ""52174"", ""52178"", ""52180"", ""52182"", ""52185"", ""52188"", ""52189"", ""52190"", ""52192"", ""52194"", ""52196"", ""52199"", ""52200"", ""52201"", ""52202"", ""52205"", ""52206"", ""52207"", ""52210"", ""52211"", ""52215"", ""52216"", ""52217"", ""52219"", ""52220"", ""52221"", ""52225"", ""52228"", ""52239"", ""52241"", ""52243"", ""52248"", ""52250"", ""52252"", ""52254"", ""52256"", ""52258"", ""52260"", ""52261"", ""52263"", ""52264"", ""52265"", ""52266"", ""52270"", ""52274"", ""52275"", ""52277"", ""52281"", ""52282"", ""52283"", ""52284"", ""52285"", ""52286"", ""52294"", ""52314"", ""52315"", ""52316"", ""52317"", ""52332"", ""52337"", ""52345"", ""52351"", ""52352"", ""52353"", ""52355"", ""52357"", ""52358"", ""52376"", ""52382"", ""52397"", ""52400"", ""52401"", ""52452"", ""52454"", ""52455"", ""52456"", ""52459"", ""52461"", ""52462"", ""52464"", ""52468"", ""52469"", ""52471"", ""52473"", ""52476"", ""52477"", ""52478"", ""52479"", ""52480"", ""52481"", ""52484"", ""52487"", ""52488"", ""52489"", ""52490"", ""52491"", ""52492"", ""52493""]",concluido
000086,000086,2026-02-16T07:36:43.868241,2026-02-16T07:49:13.616097,472,"[""52512"", ""52549"", ""52551"", ""52554"", ""52556"", ""52557"", ""52558"", ""52570"", ""52573"", ""52603"", ""52617"", ""52663"", ""52708"", ""52736"", ""52740"", ""52742"", ""52769"", ""52786"", ""52792"", ""52796"", ""52837"", ""52858"", ""52893"", ""52907"", ""52936"", ""52949"", ""52954"", ""52956""]",concluido
000087,000087,2026-02-16T07:49:19.745033,2026-02-16T08:00:45.005022,375,"[""53026"", ""53034"", ""53038"", ""53047"", ""53108"", ""53135"", ""53145"", ""53158"", ""53164"", ""53177"", ""53178"", ""53179"", ""53181"", ""53182"", ""53185"", ""53187"", ""53188"", ""53192"", ""53195"", ""53196"", ""53201"", ""53202"", ""53203"", ""53204"", ""53205"", ""53207"", ""53208"", ""53211"", ""53212"", ""53213"", ""53214"", ""53215"", ""53216"", ""53219"", ""53221"", ""53222"", ""53223"", ""53226"", ""53227"", ""53228"", ""53231"", ""53234"", ""53238"", ""53239"", ""53240"", ""53242"", ""53243"", ""53244"", ""53245"", ""53246"", ""53248"", ""53249"", ""53250"", ""53251"", ""53252"", ""53253"", ""53254"", ""53255"", ""53256"", ""53258"", ""53262"", ""53264"", ""53265"", ""53266"", ""53296"", ""53360"", ""53364"", ""53367"", ""53386"", ""53389"", ""53391"", ""53394"", ""53397"", ""53404"", ""53405"", ""53406"", ""53407"", ""53408"", ""53409"", ""53410"", ""53411"", ""53412"", ""53413"", ""53414"", ""53415"", ""53416"", ""53417"", ""53418"", ""53419"", ""53420"", ""53421"", ""53423"", ""53424"", ""53426"", ""53430"", ""53434"", ""53442"", ""53445"", ""53447"", ""53449"", ""53450"", ""53453"", ""53454"", ""53456"", ""53457"", ""53458"", ""53460"", ""53461"", ""53463"", ""53465"", ""53467"", ""53471"", ""53472"", ""53473"", ""53476"", ""53477"", ""53484"", ""53486"", ""53488"", ""53489"", ""53491"", ""53492"", ""53494"", ""53495"", ""53499""]",concluido
000088,000088,2026-02-16T08:00:51.085815,2026-02-16T08:16:43.484006,324,"[""53505"", ""53506"", ""53507"", ""53508"", ""53509"", ""53511"", ""53514"", ""53515"", ""53516"", ""53518"", ""53519"", ""53520"", ""53521"", ""53522"", ""53525"", ""53526"", ""53527"", ""53529"", ""53530"", ""53532"", ""53534"", ""53538"", ""53542"", ""53543"", ""53545"", ""53546"", ""53547"", ""53548"", ""53549"", ""53550"", ""53551"", ""53552"", ""53553"", ""53554"", ""53555"", ""53557"", ""53561"", ""53565"", ""53567"", ""53568"", ""53569"", ""53571"", ""53572"", ""53573"", ""53578"", ""53581"", ""53583"", ""53587"", ""53588"", ""53593"", ""53594"", ""53595"", ""53596"", ""53601"", ""53602"", ""53607"", ""53608"", ""53610"", ""53612"", ""53613"", ""53614"", ""53617"", ""53619"", ""53622"", ""53624"", ""53627"", ""53628"", ""53630"", ""53633"", ""53644"", ""53645"", ""53646"", ""53647"", ""53651"", ""53652"", ""53659"", ""53663"", ""53664"", ""53665"", ""53666"", ""53680"", ""53690"", ""53691"", ""53694"", ""53696"", ""53697"", ""53699"", ""53700"", ""53702"", ""53703"", ""53704"", ""53705"", ""53706"", ""53708"", ""53710"", ""53711"", ""53712"", ""53714"", ""53715"", ""53716"", ""53717"", ""53719"", ""53720"", ""53722"", ""53723"", ""53724"", ""53727"", ""53728"", ""53729"", ""53731"", ""53732"", ""53734"", ""53735"", ""53736"", ""53737"", ""53738"", ""53739"", ""53741"", ""53743"", ""53745"", ""53746"", ""53747"", ""53748"", ""53749"", ""53750"", ""53751"", ""53753"", ""53754"", ""53755"", ""53757"", ""53758"", ""53760"", ""53761"", ""53763"", ""53765"", ""53766"", ""53767"", ""53768"", ""53769"", ""53770"", ""53771"", ""53772"", ""53799"", ""53800"", ""53801"", ""53813"", ""53828"", ""53836"", ""53839"", ""53845"", ""53853"", ""53859"", ""53860"", ""53861"", ""53868"", ""53869"", ""53870"", ""53871"", ""53872"", ""53873"", ""53880"", ""53893"", ""53919"", ""53979"", ""53986"", ""53989"", ""53990"", ""53991"", ""53992"", ""53993"", ""53994"", ""53995"", ""53996"", ""53997"", ""53998"", ""53999""]",concluido
